,date,Lasso,Multivariate Granger KM10,Multivariate Granger KM5,Pairwise Granger,SPY,Sequential FS,VAR-LiNGAM Cluster KM10,VAR-LiNGAM Cluster KM5
0,2006-01-31,-0.0237301983988567,0.0,0.0,-0.0237301983988567,0.0237301983988567,0.0237301983988567,0.0,0.0
1,2006-02-28,-0.0057086744669814,0.0,0.0,0.0057086744669814,0.0057086744669814,0.0057086744669814,0.0,0.0
2,2006-03-31,-0.0163938829464054,-0.0163938829464054,0.0,0.0163938829464054,0.0163938829464054,0.0163938829464054,0.0,0.0
3,2006-04-28,0.0125528818714493,0.0,0.0,0.0125528818714493,0.0125528818714493,0.0125528818714493,0.0,0.0
4,2006-05-31,0.0305839575337135,-0.0,-0.0,-0.0305839575337135,-0.0305839575337135,0.0305839575337135,-0.0,-0.0
5,2006-06-30,-0.0021576705537993,0.0021576705537993,0.0,0.0021576705537993,0.0021576705537993,0.0021576705537993,0.0,0.0
6,2006-07-31,-0.0048611653667064,0.0,0.0,0.0048611653667064,0.0048611653667064,0.0048611653667064,0.0,0.0
7,2006-08-31,-0.0215873083149974,0.0,0.0,-0.0215873083149974,0.0215873083149974,-0.0215873083149974,0.0,0.0
8,2006-09-29,-0.0265825328824885,-0.0265825328824885,0.0,0.0265825328824885,0.0265825328824885,-0.0265825328824885,0.0,0.0
9,2006-10-31,-0.0310305342464882,0.0,0.0,0.0310305342464882,0.0310305342464882,0.0310305342464882,0.0,0.0
10,2006-11-30,-0.0196898758419341,0.0,0.0,0.0196898758419341,0.0196898758419341,0.0196898758419341,0.0,0.0
11,2006-12-29,-0.013308053723733499,0.0,0.0,0.013308053723733499,0.013308053723733499,-0.013308053723733499,0.0,0.0
12,2007-01-31,0.0149280205842366,0.0,0.0,0.0149280205842366,0.0149280205842366,0.0149280205842366,0.0,0.0
13,2007-02-28,-0.0198119673397977,0.0198119673397977,-0.0,-0.0198119673397977,-0.0198119673397977,0.0198119673397977,-0.0,-0.0
14,2007-03-30,0.0114383321408296,0.0114383321408296,0.0,-0.0114383321408296,0.0114383321408296,0.0114383321408296,0.0,0.0
15,2007-04-30,0.0433429741790715,0.0433429741790715,0.0,0.0433429741790715,0.0433429741790715,0.0433429741790715,0.0,0.0
16,2007-05-31,0.0333574036539963,0.0333574036539963,0.0,-0.0333574036539963,0.0333574036539963,0.0333574036539963,0.0,0.0
17,2007-06-29,-0.014681243996083799,-0.0,-0.0,-0.014681243996083799,-0.014681243996083799,0.014681243996083799,-0.0,-0.0
18,2007-07-31,-0.0318106357165325,-0.0,-0.0,-0.0318106357165325,-0.0318106357165325,-0.0318106357165325,-0.0,-0.0
19,2007-08-31,-0.012751354815351,0.012751354815351,0.0,0.012751354815351,0.012751354815351,0.012751354815351,0.0,0.0
20,2007-09-28,-0.0379506762284739,0.0379506762284739,0.0,0.0379506762284739,0.0379506762284739,0.0379506762284739,0.0,0.0
21,2007-10-31,0.0134757922730107,0.0134757922730107,0.0134757922730107,-0.0134757922730107,0.0134757922730107,0.0134757922730107,0.0,0.0
22,2007-11-30,-0.039503073013074805,-0.039503073013074805,-0.039503073013074805,-0.039503073013074805,-0.039503073013074805,-0.039503073013074805,-0.0,-0.0
23,2007-12-31,-0.011328930685387002,-0.011328930685387002,-0.0,-0.011328930685387002,-0.011328930685387002,-0.011328930685387002,-0.0,-0.0
24,2008-01-31,-0.062365949547936506,-0.062365949547936506,-0.0,-0.062365949547936506,-0.062365949547936506,-0.062365949547936506,-0.0,-0.0
25,2008-02-29,0.0261827973643772,-0.0261827973643772,-0.0261827973643772,-0.0261827973643772,-0.0261827973643772,-0.0261827973643772,-0.0,-0.0
26,2008-03-31,0.0090679902301682,-0.0090679902301682,-0.0090679902301682,0.0090679902301682,-0.0090679902301682,0.0090679902301682,-0.0,-0.0
27,2008-04-30,-0.046561014794415906,0.046561014794415906,0.0,-0.046561014794415906,0.046561014794415906,-0.046561014794415906,0.0,0.0
28,2008-05-30,-0.015003876786527402,0.015003876786527402,0.015003876786527402,-0.015003876786527402,0.015003876786527402,-0.015003876786527402,0.0,0.0
29,2008-06-30,0.0870502868375172,-0.0870502868375172,-0.0870502868375172,0.0870502868375172,-0.0870502868375172,0.0870502868375172,-0.0,-0.0
30,2008-07-31,-0.0090266176076375,-0.0090266176076375,-0.0090266176076375,0.0090266176076375,-0.0090266176076375,0.0090266176076375,-0.0,-0.0
31,2008-08-29,0.0153358031295059,0.0153358031295059,0.0153358031295059,-0.0153358031295059,0.0153358031295059,0.0153358031295059,0.0,0.0
32,2008-09-30,0.0987402557946903,-0.0987402557946903,-0.0987402557946903,0.0987402557946903,-0.0987402557946903,-0.0987402557946903,-0.0,-0.0
33,2008-10-31,0.18054753130810522,0.18054753130810522,0.18054753130810522,0.18054753130810522,-0.18054753130810522,0.18054753130810522,-0.0,-0.0
34,2008-11-28,-0.0721482014517288,0.0721482014517288,0.0721482014517288,0.0721482014517288,-0.0721482014517288,0.0721482014517288,0.0721482014517288,0.0721482014517288
35,2008-12-31,0.009603736142694604,-0.009603736142694604,0.0,-0.009603736142694604,0.009603736142694604,-0.009603736142694604,0.0,0.0
36,2009-01-30,-0.0856820790795305,0.0856820790795305,-0.0,0.0856820790795305,-0.0856820790795305,-0.0856820790795305,-0.0,-0.0
37,2009-02-27,0.11367162410379089,0.11367162410379089,-0.0,0.11367162410379089,-0.11367162410379089,0.11367162410379089,-0.0,-0.0
38,2009-03-31,-0.0799251623038117,0.0,0.0,-0.0799251623038117,0.0799251623038117,0.0799251623038117,0.0,0.0
