"CubeId";"snbbipo"
"PublishingDate";"2024-07-31 09:00"

"Date";"D0";"Value"
"1996-12";"GFG";"11903.9"
"1996-12";"D";"49328.4"
"1996-12";"RIWF";"2067.8"
"1996-12";"IZ";"290"
"1996-12";"W";"204.3"
"1996-12";"FRGSF";
"1996-12";"FRGUSD";
"1996-12";"GSGSF";
"1996-12";"IG";"1581.7"
"1996-12";"GD";
"1996-12";"FI";"514.5"
"1996-12";"WSF";"4821.5"
"1996-12";"DS";
"1996-12";"UA";"1813.8"
"1996-12";"T0";"72526.1"
"1996-12";"N";"32447.6"
"1996-12";"GB";"4927.38326371"
"1996-12";"VB";"1654.8"
"1996-12";"GBI";"32.7"
"1996-12";"US";"204.1"
"1996-12";"VRGSF";
"1996-12";"ES";
"1996-12";"UT";"0"
"1996-12";"VF";
"1996-12";"AIWFS";
"1996-12";"SP";"2154.9"
"1996-12";"RE";"31104.6"
"1996-12";"T1";"72526.1"
"1997-01";"GFG";"11903.9"
"1997-01";"D";"47263.3"
"1997-01";"RIWF";"2068"
"1997-01";"IZ";"315.3"
"1997-01";"W";"204.3"
"1997-01";"FRGSF";
"1997-01";"FRGUSD";
"1997-01";"GSGSF";
"1997-01";"IG";"282.6"
"1997-01";"GD";
"1997-01";"FI";"364"
"1997-01";"WSF";"4818.9"
"1997-01";"DS";
"1997-01";"UA";"1101.8"
"1997-01";"T0";"68322.2"
"1997-01";"N";"29656"
"1997-01";"GB";"3493.57405855"
"1997-01";"VB";"1585.6"
"1997-01";"GBI";"38.1"
"1997-01";"US";"230.1"
"1997-01";"VRGSF";
"1997-01";"ES";
"1997-01";"UT";"0"
"1997-01";"VF";
"1997-01";"AIWFS";
"1997-01";"SP";"2214.2"
"1997-01";"RE";"31104.6"
"1997-01";"T1";"68322.2"
"1997-02";"GFG";"11903.9"
"1997-02";"D";"46147.1"
"1997-02";"RIWF";"1999"
"1997-02";"IZ";"414"
"1997-02";"W";"204.3"
"1997-02";"FRGSF";
"1997-02";"FRGUSD";
"1997-02";"GSGSF";
"1997-02";"IG";"1633.9"
"1997-02";"GD";
"1997-02";"FI";"132.6"
"1997-02";"WSF";"4811.7"
"1997-02";"DS";
"1997-02";"UA";"1104.5"
"1997-02";"T0";"68351.1"
"1997-02";"N";"29508.4"
"1997-02";"GB";"3456.77372996"
"1997-02";"VB";"1677.5"
"1997-02";"GBI";"58.5"
"1997-02";"US";"197.9"
"1997-02";"VRGSF";
"1997-02";"ES";
"1997-02";"UT";"0"
"1997-02";"VF";
"1997-02";"AIWFS";
"1997-02";"SP";"2347.4"
"1997-02";"RE";"31104.6"
"1997-02";"T1";"68351.1"
"1997-03";"GFG";"11903.9"
"1997-03";"D";"48885"
"1997-03";"RIWF";"2043.8"
"1997-03";"IZ";"358.2"
"1997-03";"W";"177"
"1997-03";"FRGSF";
"1997-03";"FRGUSD";
"1997-03";"GSGSF";
"1997-03";"IG";"1762.8"
"1997-03";"GD";
"1997-03";"FI";"175.9"
"1997-03";"WSF";"4832.1"
"1997-03";"DS";
"1997-03";"UA";"1122.6"
"1997-03";"T0";"71261.3"
"1997-03";"N";"29986.4"
"1997-03";"GB";"3853.68187038"
"1997-03";"VB";"1542.8"
"1997-03";"GBI";"51.1"
"1997-03";"US";"208.1"
"1997-03";"VRGSF";
"1997-03";"ES";
"1997-03";"UT";"0"
"1997-03";"VF";
"1997-03";"AIWFS";
"1997-03";"SP";"4503.8"
"1997-03";"RE";"31115.5"
"1997-03";"T1";"71261.3"
"1997-04";"GFG";"11903.9"
"1997-04";"D";"48188.3"
"1997-04";"RIWF";"2043.9"
"1997-04";"IZ";"292.8"
"1997-04";"W";"177"
"1997-04";"FRGSF";
"1997-04";"FRGUSD";
"1997-04";"GSGSF";
"1997-04";"IG";"645.3"
"1997-04";"GD";
"1997-04";"FI";"352"
"1997-04";"WSF";"4831"
"1997-04";"DS";
"1997-04";"UA";"1472.7"
"1997-04";"T0";"69906.8"
"1997-04";"N";"29273.2"
"1997-04";"GB";"3185.98895482"
"1997-04";"VB";"1919.1"
"1997-04";"GBI";"70.9"
"1997-04";"US";"182.3"
"1997-04";"VRGSF";
"1997-04";"ES";
"1997-04";"UT";"0"
"1997-04";"VF";
"1997-04";"AIWFS";
"1997-04";"SP";"4158.9"
"1997-04";"RE";"31116.5"
"1997-04";"T1";"69906.8"
"1997-05";"GFG";"11903.9"
"1997-05";"D";"49430.7"
"1997-05";"RIWF";"2044.1"
"1997-05";"IZ";"336"
"1997-05";"W";"177"
"1997-05";"FRGSF";
"1997-05";"FRGUSD";
"1997-05";"GSGSF";
"1997-05";"IG";"1598.7"
"1997-05";"GD";
"1997-05";"FI";"136.6"
"1997-05";"WSF";"4858.6"
"1997-05";"DS";
"1997-05";"UA";"1130.3"
"1997-05";"T0";"71615.9"
"1997-05";"N";"29318.6"
"1997-05";"GB";"3772.92251368"
"1997-05";"VB";"2816.5"
"1997-05";"GBI";"39.6"
"1997-05";"US";"191"
"1997-05";"VRGSF";
"1997-05";"ES";
"1997-05";"UT";"0"
"1997-05";"VF";
"1997-05";"AIWFS";
"1997-05";"SP";"4360.8"
"1997-05";"RE";"31116.5"
"1997-05";"T1";"71615.9"
"1997-06";"GFG";"11903.9"
"1997-06";"D";"48304"
"1997-06";"RIWF";"2028.7"
"1997-06";"IZ";"289.9"
"1997-06";"W";"234.7"
"1997-06";"FRGSF";
"1997-06";"FRGUSD";
"1997-06";"GSGSF";
"1997-06";"IG";"1897.6"
"1997-06";"GD";
"1997-06";"FI";"341.4"
"1997-06";"WSF";"4908"
"1997-06";"DS";
"1997-06";"UA";"1202"
"1997-06";"T0";"71110.4"
"1997-06";"N";"29437.8"
"1997-06";"GB";"4249.07236167"
"1997-06";"VB";"1864.3"
"1997-06";"GBI";"54.6"
"1997-06";"US";"222.1"
"1997-06";"VRGSF";
"1997-06";"ES";
"1997-06";"UT";"0"
"1997-06";"VF";
"1997-06";"AIWFS";
"1997-06";"SP";"4166.1"
"1997-06";"RE";"31116.5"
"1997-06";"T1";"71110.4"
"1997-07";"GFG";"11903.9"
"1997-07";"D";"47545.3"
"1997-07";"RIWF";"2028.9"
"1997-07";"IZ";"385.5"
"1997-07";"W";"276.4"
"1997-07";"FRGSF";
"1997-07";"FRGUSD";
"1997-07";"GSGSF";
"1997-07";"IG";"1708.8"
"1997-07";"GD";
"1997-07";"FI";"344.4"
"1997-07";"WSF";"4913.6"
"1997-07";"DS";
"1997-07";"UA";"1169.2"
"1997-07";"T0";"70276.1"
"1997-07";"N";"29029"
"1997-07";"GB";"3895.57928986"
"1997-07";"VB";"1672.2"
"1997-07";"GBI";"29.4"
"1997-07";"US";"183.3"
"1997-07";"VRGSF";
"1997-07";"ES";
"1997-07";"UT";"0"
"1997-07";"VF";
"1997-07";"AIWFS";
"1997-07";"SP";"4350.2"
"1997-07";"RE";"31116.5"
"1997-07";"T1";"70276.1"
"1997-08";"GFG";"11903.9"
"1997-08";"D";"47643.5"
"1997-08";"RIWF";"2060.3"
"1997-08";"IZ";"486.8"
"1997-08";"W";"276.4"
"1997-08";"FRGSF";
"1997-08";"FRGUSD";
"1997-08";"GSGSF";
"1997-08";"IG";"1148.5"
"1997-08";"GD";
"1997-08";"FI";"216.4"
"1997-08";"WSF";"4945.3"
"1997-08";"DS";
"1997-08";"UA";"1138.2"
"1997-08";"T0";"69819.3"
