"CubeId";"sddsilv7m"
"PublishingDate";"2024-08-14 09:00"

"Date";"D0";"Value"
"2010-11";"RAXG";"218626"
"2010-11";"RAFAFX";"212390"
"2010-11";"RAFAIMF";"1122"
"2010-11";"RAFASDR";"5115"
"2010-11";"RAFAGOLD";"42671"
"2010-11";"RAFAO";"-1"
"2010-12";"RAXG";"208458"
"2010-12";"RAFAFX";"202742"
"2010-12";"RAFAIMF";"1068"
"2010-12";"RAFASDR";"4670"
"2010-12";"RAFAGOLD";"43988"
"2010-12";"RAFAO";"-23"
"2011-01";"RAXG";"213977"
"2011-01";"RAFAFX";"207933"
"2011-01";"RAFAIMF";"1268"
"2011-01";"RAFASDR";"4776"
"2011-01";"RAFAGOLD";"41742"
"2011-01";"RAFAO";"0"
"2011-02";"RAXG";"213997"
"2011-02";"RAFAFX";"208005"
"2011-02";"RAFAIMF";"1257"
"2011-02";"RAFASDR";"4735"
"2011-02";"RAFAGOLD";"43837"
"2011-02";"RAFAO";"0"
"2011-03";"RAXG";"212100"
"2011-03";"RAFAFX";"206083"
"2011-03";"RAFAIMF";"1314"
"2011-03";"RAFASDR";"4700"
"2011-03";"RAFAGOLD";"43999"
"2011-03";"RAFAO";"4"
"2011-04";"RAXG";"207999"
"2011-04";"RAFAFX";"202101"
"2011-04";"RAFAIMF";"1307"
"2011-04";"RAFASDR";"4592"
"2011-04";"RAFAGOLD";"44500"
"2011-04";"RAFAO";"0"
"2011-05";"RAXG";"202527"
"2011-05";"RAFAFX";"196078"
"2011-05";"RAFAIMF";"2022"
"2011-05";"RAFASDR";"4429"
"2011-05";"RAFAGOLD";"43871"
"2011-05";"RAFAO";"-2"
"2011-06";"RAXG";"202268"
"2011-06";"RAFAFX";"196003"
"2011-06";"RAFAIMF";"1971"
"2011-06";"RAFASDR";"4312"
"2011-06";"RAFAGOLD";"42438"
"2011-06";"RAFAO";"-17"
"2011-07";"RAXG";"190182"
"2011-07";"RAFAFX";"183821"
"2011-07";"RAFAIMF";"2232"
"2011-07";"RAFASDR";"4129"
"2011-07";"RAFAGOLD";"42839"
"2011-07";"RAFAO";"0"
"2011-08";"RAXG";"261744"
"2011-08";"RAFAFX";"255275"
"2011-08";"RAFAIMF";"2270"
"2011-08";"RAFASDR";"4202"
"2011-08";"RAFAGOLD";"48875"
"2011-08";"RAFAO";"-3"
"2011-09";"RAXG";"287600"
"2011-09";"RAFAFX";"282220"
"2011-09";"RAFAIMF";"2880"
"2011-09";"RAFASDR";"4570"
"2011-09";"RAFAGOLD";"48981"
"2011-09";"RAFAO";"-2070"
"2011-10";"RAXG";"252272"
"2011-10";"RAFAFX";"245036"
"2011-10";"RAFAIMF";"2782"
"2011-10";"RAFASDR";"4453"
"2011-10";"RAFAGOLD";"50164"
"2011-10";"RAFAO";"2"
"2011-11";"RAXG";"239026"
"2011-11";"RAFAFX";"231581"
"2011-11";"RAFAIMF";"2875"
"2011-11";"RAFASDR";"4570"
"2011-11";"RAFAGOLD";"53123"
"2011-11";"RAFAO";"0"
"2011-12";"RAXG";"262014"
"2011-12";"RAFAFX";"254254"
"2011-12";"RAFAIMF";"3135"
"2011-12";"RAFASDR";"4621"
"2011-12";"RAFAGOLD";"49380"
"2011-12";"RAFAO";"4"
"2012-01";"RAXG";"237047"
"2012-01";"RAFAFX";"229438"
"2012-01";"RAFAIMF";"3069"
"2012-01";"RAFASDR";"4541"
"2012-01";"RAFAGOLD";"53494"
"2012-01";"RAFAO";"-1"
"2012-02";"RAXG";"234696"
"2012-02";"RAFAFX";"227230"
"2012-02";"RAFAIMF";"3009"
"2012-02";"RAFASDR";"4456"
"2012-02";"RAFAGOLD";"53443"
"2012-02";"RAFAO";"1"
"2012-03";"RAXG";"245056"
"2012-03";"RAFAFX";"237483"
"2012-03";"RAFAIMF";"3099"
"2012-03";"RAFASDR";"4460"
"2012-03";"RAFAGOLD";"50140"
"2012-03";"RAFAO";"13"
"2012-04";"RAXG";"245548"
"2012-04";"RAFAFX";"237588"
"2012-04";"RAFAIMF";"3488"
"2012-04";"RAFASDR";"4472"
"2012-04";"RAFAGOLD";"50274"
"2012-04";"RAFAO";"0"
"2012-05";"RAXG";"314058"
"2012-05";"RAFAFX";"305934"
"2012-05";"RAFAIMF";"3490"
"2012-05";"RAFASDR";"4640"
"2012-05";"RAFAGOLD";"50761"
"2012-05";"RAFAO";"-6"
"2012-06";"RAXG";"372799"
"2012-06";"RAFAFX";"365056"
"2012-06";"RAFAIMF";"3193"
"2012-06";"RAFASDR";"4586"
"2012-06";"RAFAGOLD";"50638"
"2012-06";"RAFAO";"-36"
"2012-07";"RAXG";"416414"
"2012-07";"RAFAFX";"408605"
"2012-07";"RAFAIMF";"3132"
"2012-07";"RAFASDR";"4676"
"2012-07";"RAFAGOLD";"53105"
"2012-07";"RAFAO";"0"
"2012-08";"RAXG";"428413"
"2012-08";"RAFAFX";"420797"
"2012-08";"RAFAIMF";"3002"
"2012-08";"RAFASDR";"4614"
"2012-08";"RAFAGOLD";"52858"
"2012-08";"RAFAO";"0"
"2012-09";"RAXG";"437041"
"2012-09";"RAFAFX";"429477"
"2012-09";"RAFAIMF";"2984"
"2012-09";"RAFASDR";"4585"
"2012-09";"RAFAGOLD";"55595"
"2012-09";"RAFAO";"-5"
"2012-10";"RAXG";"434222.78880418"
"2012-10";"RAFAFX";"426769.452621"
"2012-10";"RAFAIMF";"2891.38899809"
"2012-10";"RAFASDR";"4563.96427944"
"2012-10";"RAFAGOLD";"53474.60370391"
"2012-10";"RAFAO";"-2.01709435"
"2012-11";"RAXG";"434905.61093748"
"2012-11";"RAFAFX";"427377.88572419"
"2012-11";"RAFAIMF";"3014.58992936"
"2012-11";"RAFASDR";"4513.46079993"
"2012-11";"RAFAGOLD";"53484.86238909"
"2012-11";"RAFAO";"0"
"2012-12";"RAXG";"434229.81591897"
"2012-12";"RAFAFX";"427196.28801212"
"2012-12";"RAFAIMF";"2804.17307487"
"2012-12";"RAFASDR";"4249.16364388"
"2012-12";"RAFAGOLD";"50771.50561342"
"2012-12";"RAFAO";"-19.8088119"
"2013-01";"RAXG";"436539.98313296"
"2013-01";"RAFAFX";"429455.2137703"
"2013-01";"RAFAIMF";"2837.90185229"
"2013-01";"RAFASDR";"4248.55789447"
"2013-01";"RAFAGOLD";"50796.9199732"
"2013-01";"RAFAO";"-1.6903841"
"2013-02";"RAXG";"437167.74051508"
"2013-02";"RAFAFX";"429993.21601398"
"2013-02";"RAFAIMF";"2871.32775667"
"2013-02";"RAFASDR";"4303.58885856"
"2013-02";"RAFAGOLD";"49510.37929493"
"2013-02";"RAFAO";"-0.39211413"
"2013-03";"RAXG";"445425.33850173"
"2013-03";"RAFAFX";"438333.9915344"
"2013-03";"RAFAIMF";"2741.42246338"
"2013-03";"RAFASDR";"4343.14522989"
"2013-03";"RAFAGOLD";"50716.83585165"
"2013-03";"RAFAO";"6.77927406"
"2013-04";"RAXG";"443106.64845986"
"2013-04";"RAFAFX";"436101.35265442"
"2013-04";"RAFAIMF";"2673.07591207"
"2013-04";"RAFASDR";"4333.76452171"
"2013-04";"RAFAGOLD";"45744.67653504"
"2013-04";"RAFAO";"-1.54462834"
"2013-05";"RAXG";"451024.85256513"
"2013-05";"RAFAFX";"444113.34081423"
"2013-05";"RAFAIMF";"2483.70134996"
"2013-05";"RAFASDR";"4429.26562392"
"2013-05";"RAFAGOLD";"44805.04006616"
"2013-05";"RAFAO";"-1.45522298"
"2013-06";"RAXG";"441728.9923416"
"2013-06";"RAFAFX";"434763.84866137"
"2013-06";"RAFAIMF";"2562.97153691"
"2013-06";"RAFASDR";"4378.02143635"
"2013-06";"RAFAGOLD";"37617.61242651"
"2013-06";"RAFAO";"24.15070697"
"2013-07";"RAXG";"441224.28645894"
"2013-07";"RAFAFX";"434319.04373844"
"2013-07";"RAFAIMF";"2515.59560839"
"2013-07";"RAFASDR";"4391.13916277"
"2013-07";"RAFAGOLD";"41016.32389091"
"2013-07";"RAFAO";"-1.49205066"
"2013-08";"RAXG";"440934.12876623"
"2013-08";"RAFAFX";"434171.16518912"
"2013-08";"RAFAIMF";"2375.98906661"
"2013-08";"RAFASDR";"4387.14357874"
"2013-08";"RAFAGOLD";"43439.09278507"
"2013-08";"RAFAO";"-0.16906824"
"2013-09";"RAXG";"439686.19467962"
"2013-09";"RAFAFX";"432978.34919387"
"2013-09";"RAFAIMF";"2402.32180755"
"2013-09";"RAFASDR";"4313.73136848"
"2013-09";"RAFAGOLD";"40108.03628175"
"2013-09";"RAFAO";"-8.20769028"
"2013-10";"RAXG";"441333.03285641"
"2013-10";"RAFAFX";"434724.04676229"
"2013-10";"RAFAIMF";"2245.32820328"
"2013-10";"RAFASDR";"4361.49074397"
"2013-10";"RAFAGOLD";"40164.34931251"
"2013-10";"RAFAO";"2.16714687"
"2013-11";"RAXG";"442511.11017241"
"2013-11";"RAFAFX";"435849.51181027"
"2013-11";"RAFAIMF";"2317.62328037"
"2013-11";"RAFASDR";"4344.01467727"
"2013-11";"RAFAGOLD";"37844.1875329"
"2013-11";"RAFAO";"-0.0395955"
"2013-12";"RAXG";"441799.52975968"
"2013-12";"RAFAFX";"435204.60077984"
"2013-12";"RAFAIMF";"2295.38419036"
"2013-12";"RAFASDR";"4293.89450471"
"2013-12";"RAFAGOLD";"35564.96163437"
"2013-12";"RAFAO";"5.65028477"
"2014-01";"RAXG";"444345.50580984"
"2014-01";"RAFAFX";"437721.59776032"
"2014-01";"RAFAIMF";"2272.44361028"
"2014-01";"RAFASDR";"4353.09155919"
"2014-01";"RAFAGOLD";"37943.16648009"
"2014-01";"RAFAO";"-1.62711995"
"2014-02";"RAXG";"440078.55635412"
"2014-02";"RAFAFX";"433575.6594821"
"2014-02";"RAFAIMF";"2230.25533573"
"2014-02";"RAFASDR";"4272.78993486"
"2014-02";"RAFAGOLD";"39189.62376131"
"2014-02";"RAFAO";"-0.14839857"
"2014-03";"RAXG";"444377.54416087"
"2014-03";"RAFAFX";"437934.85516712"
"2014-03";"RAFAIMF";"2174.29225405"
"2014-03";"RAFASDR";"4275.85525547"
"2014-03";"RAFAGOLD";"38199.49496771"
"2014-03";"RAFAO";"-7.45851577"
"2014-04";"RAXG";"445277.68368488"
"2014-04";"RAFAFX";"438949.12691543"
"2014-04";"RAFAIMF";"2090.43041733"
"2014-04";"RAFASDR";"4263.12864431"
"2014-04";"RAFAGOLD";"37939.27806139"
"2014-04";"RAFAO";"-25.00229219"
"2014-05";"RAXG";"450847.52790174"
"2014-05";"RAFAFX";"444351.24513864"
"2014-05";"RAFAIMF";"2189.68352963"
"2014-05";"RAFASDR";"4307.1948017"
"2014-05";"RAFAGOLD";"37508.36597566"
"2014-05";"RAFAO";"-0.59556823"
"2014-06";"RAXG";"456158.48540315"
"2014-06";"RAFAFX";"449602.45163231"
"2014-06";"RAFAIMF";"2275.4138774"
"2014-06";"RAFASDR";"4275.75890004"
"2014-06";"RAFAGOLD";"39108.58361692"
"2014-06";"RAFAO";"4.8609934"
"2014-07";"RAXG";"459977.46020472"
"2014-07";"RAFAFX";"453352.86099276"
"2014-07";"RAFAIMF";"2299.55508616"
"2014-07";"RAFASDR";"4324.92560814"
"2014-07";"RAFAGOLD";"39089.03805601"
"2014-07";"RAFAO";"0.11851766"
"2014-08";"RAXG";"460434.95282796"
"2014-08";"RAFAFX";"453875.43077645"
"2014-08";"RAFAIMF";"2235.94603286"
"2014-08";"RAFASDR";"4322.85860965"
"2014-08";"RAFAGOLD";"39380.83214089"
"2014-08";"RAFAO";"0.717409"
"2014-09";"RAXG";"468672.12999747"
"2014-09";"RAFAFX";"462117.49636636"
"2014-09";"RAFAIMF";"2232.99638134"
"2014-09";"RAFASDR";"4353.55992007"
"2014-09";"RAFAGOLD";"38890.81586045"
"2014-09";"RAFAO";"-31.9226703"
"2014-10";"RAXG";"467119.07033451"
"2014-10";"RAFAFX";"460555.54590499"
"2014-10";"RAFAIMF";"2194.34559846"
"2014-10";"RAFASDR";"4369.8154104"
"2014-10";"RAFAGOLD";"37518.94150457"
"2014-10";"RAFAO";"-0.63657934"
"2014-11";"RAXG";"469131.72481177"
"2014-11";"RAFAFX";"462669.13345611"
"2014-11";"RAFAIMF";"2131.5191785"
"2014-11";"RAFASDR";"4331.67050417"
"2014-11";"RAFAGOLD";"38098.42207515"
"2014-11";"RAFAO";"-0.59832701"
"2014-12";"RAXG";"501570.94072068"
"2014-12";"RAFAFX";"495130.36466416"
"2014-12";"RAFAIMF";"2037.32704323"
"2014-12";"RAFASDR";"4413.78577845"
"2014-12";"RAFAGOLD";"39629.62133313"
"2014-12";"RAFAO";"-10.53676516"
"2015-01";"RAXG";"504402.04274583"
"2015-01";"RAFAFX";"498462.75056443"
"2015-01";"RAFAIMF";"1899.1158114"
"2015-01";"RAFASDR";"4018.38972772"
"2015-01";"RAFAGOLD";"39141.97374336"
"2015-01";"RAFAO";"21.78664228"
"2015-02";"RAXG";"515088.7187091"
"2015-02";"RAFAFX";"509244.94220617"
"2015-02";"RAFAIMF";"1747.40829313"
"2015-02";"RAFASDR";"4099.20052944"
"2015-02";"RAFAGOLD";"38542.14101926"
"2015-02";"RAFAO";"-2.83231964"
"2015-03";"RAXG";"528031.24829561"
"2015-03";"RAFAFX";"522399.24163482"
"2015-03";"RAFAIMF";"1642.93493199"
"2015-03";"RAFASDR";"4034.5469457"
"2015-03";"RAFAGOLD";"38612.42257007"
"2015-03";"RAFAO";"-45.4752169"
"2015-04";"RAXG";"527808.26443017"
"2015-04";"RAFAFX";"522182.3149379"
"2015-04";"RAFAIMF";"1590.51708514"
"2015-04";"RAFASDR";"4042.17387833"
"2015-04";"RAFAGOLD";"37242.95542552"
"2015-04";"RAFAO";"-6.7414712"
"2015-05";"RAXG";"523264.84197541"
"2015-05";"RAFAFX";"517718.21695197"
"2015-05";"RAFAIMF";"1542.70899355"
"2015-05";"RAFASDR";"4009.71084808"
"2015-05";"RAFAGOLD";"37297.61527993"
"2015-05";"RAFAO";"-5.79481819"
"2015-06";"RAXG";"522044.999214"
"2015-06";"RAFAFX";"516037.23351489"
"2015-06";"RAFAIMF";"1575.70646835"
"2015-06";"RAFASDR";"4427.56097865"
"2015-06";"RAFAGOLD";"36422.88704886"
"2015-06";"RAFAO";"4.49825211"
"2015-07";"RAXG";"537197.87614505"
"2015-07";"RAFAFX";"531201.4330839"
"2015-07";"RAFAIMF";"1490.36615965"
"2015-07";"RAFASDR";"4510.59570479"
"2015-07";"RAFAGOLD";"35112.15599425"
"2015-07";"RAFAO";"-4.51880329"
"2015-08";"RAXG";"546322.78378413"
"2015-08";"RAFAFX";"540031.38036975"
"2015-08";"RAFAIMF";"1690.08315195"
"2015-08";"RAFASDR";"4598.35617969"
"2015-08";"RAFAGOLD";"36422.60310438"
"2015-08";"RAFAO";"2.96408274"
"2015-09";"RAXG";"547611.15615025"
"2015-09";"RAFAFX";"541362.47682551"
"2015-09";"RAFAIMF";"1625.88075232"
"2015-09";"RAFASDR";"4627.07787306"
"2015-09";"RAFAGOLD";"36339.54160942"
"2015-09";"RAFAO";"-4.27930064"
"2015-10";"RAXG";"557755.17530046"
"2015-10";"RAFAFX";"551504.67047819"
"2015-10";"RAFAIMF";"1590.53700115"
"2015-10";"RAFASDR";"4655.79419928"
"2015-10";"RAFAGOLD";"37671.61996187"
"2015-10";"RAFAO";"4.17362184"
"2015-11";"RAXG";"569063.43482217"
"2015-11";"RAFAFX";"562626.12920124"
"2015-11";"RAFAIMF";"1669.61552942"
"2015-11";"RAFASDR";"4764.24742191"
"2015-11";"RAFAGOLD";"36530.12726198"
"2015-11";"RAFAO";"3.4426696"
"2015-12";"RAXG";"565882.61658181"
"2015-12";"RAFAFX";"559547.50240715"
"2015-12";"RAFAIMF";"1608.40114019"
"2015-12";"RAFASDR";"4707.34538178"
"2015-12";"RAFAGOLD";"35466.67673919"
"2015-12";"RAFAO";"19.36765269"
"2016-01";"RAXG";"581484.86768995"
"2016-01";"RAFAFX";"574964.11164265"
"2016-01";"RAFAIMF";"1644.09389255"
"2016-01";"RAFASDR";"4878.35478729"
"2016-01";"RAFAGOLD";"38065.3178612"
"2016-01";"RAFAO";"-1.69263254"
"2016-02";"RAXG";"577035.1547922"
"2016-02";"RAFAFX";"570893.1537886"
"2016-02";"RAFAIMF";"1396.52923684"
"2016-02";"RAFASDR";"4762.8028319"
"2016-02";"RAFAGOLD";"41233.35042763"
"2016-02";"RAFAO";"-17.33106514"
"2016-03";"RAXG";"582570.26342225"
"2016-03";"RAFAFX";"576478.71703278"
"2016-03";"RAFAIMF";"1366.19616714"
"2016-03";"RAFASDR";"4748.25786296"
"2016-03";"RAFAGOLD";"39614.30294109"
"2016-03";"RAFAO";"-22.90764063"
"2016-04";"RAXG";"593970.26717074"
"2016-04";"RAFAFX";"587878.76718564"
"2016-04";"RAFAIMF";"1350.11182373"
"2016-04";"RAFASDR";"4761.51414264"
"2016-04";"RAFAGOLD";"41289.23506859"
"2016-04";"RAFAO";"-20.12598127"
"2016-05";"RAXG";"608085.09877001"
"2016-05";"RAFAFX";"602147.8249623"
"2016-05";"RAFAIMF";"1359.0188257"
"2016-05";"RAFASDR";"4548.53232053"
"2016-05";"RAFAGOLD";"40161.41413669"
"2016-05";"RAFAO";"29.72266148"
"2016-06";"RAXG";"614787.5254149"
"2016-06";"RAFAFX";"609006.39478722"
"2016-06";"RAFAIMF";"1351.90877176"
"2016-06";"RAFASDR";"4463.72933759"
"2016-06";"RAFAGOLD";"43064.04237263"
"2016-06";"RAFAO";"-34.50748167"
"2016-07";"RAXG";"621338.31213039"
