DATE,CPMNACSAB1GQCH
1980-01-01,50349.0
1980-04-01,50749.6
1980-07-01,51645.0
1980-10-01,52460.1
1981-01-01,53168.1
1981-04-01,54446.2
1981-07-01,55779.2
1981-10-01,56881.6
1982-01-01,57399.3
1982-04-01,58100.1
1982-07-01,58738.2
1982-10-01,59223.7
1983-01-01,59482.5
1983-04-01,59602.4
1983-07-01,60228.6
1983-10-01,61148.5
1984-01-01,62818.4
1984-04-01,63549.4
1984-07-01,64841.1
1984-10-01,65825.9
1985-01-01,66920.1
1985-04-01,67687.9
1985-07-01,68277.9
1985-10-01,69590.7
1986-01-01,70209.3
1986-04-01,71763.8
1986-07-01,71952.4
1986-10-01,72082.3
1987-01-01,72479.1
1987-04-01,73363.7
1987-07-01,74915.0
1987-10-01,76145.2
1988-01-01,76866.3
1988-04-01,77603.1
1988-07-01,79315.9
1988-10-01,81478.3
1989-01-01,82362.8
1989-04-01,84757.6
1989-07-01,85720.9
1989-10-01,87506.1
1990-01-01,90629.3
1990-04-01,91971.1
1990-07-01,92780.2
1990-10-01,93844.8
1991-01-01,95343.1
1991-04-01,95950.9
1991-07-01,96713.1
1991-10-01,97539.2
1992-01-01,98767.3
1992-04-01,98744.6
1992-07-01,98114.1
1992-10-01,97982.1
1993-01-01,98377.8
1993-04-01,100131.3
1993-07-01,101396.5
1993-10-01,102256.8
1994-01-01,103124.9
1994-04-01,102073.4
1994-07-01,103150.4
1994-10-01,103735.6
1995-01-01,103676.8
1995-04-01,103827.1
1995-07-01,104867.3
1995-10-01,104792.1
1996-01-01,105287.1
1996-04-01,105333.7
1996-07-01,104736.5
1996-10-01,104965.2
1997-01-01,105562.6
1997-04-01,106496.1
1997-07-01,107515.6
1997-10-01,108128.2
1998-01-01,109094.7
1998-04-01,110311.0
1998-07-01,110527.0
1998-10-01,109886.2
1999-01-01,109972.1
1999-04-01,110400.2
1999-07-01,112150.4
1999-10-01,114852.6
2000-01-01,116269.5
2000-04-01,116623.3
2000-07-01,118463.0
2000-10-01,120110.6
2001-01-01,120862.6
2001-04-01,120957.3
2001-07-01,121070.6
2001-10-01,120670.2
2002-01-01,120103.3
2002-04-01,120570.0
2002-07-01,120818.7
2002-10-01,120546.7
2003-01-01,120518.0
2003-04-01,120909.5
2003-07-01,122297.8
2003-10-01,123901.8
2004-01-01,124509.7
2004-04-01,125586.8
2004-07-01,125391.0
2004-10-01,126676.1
2005-01-01,127291.8
2005-04-01,129491.7
2005-07-01,130889.9
2005-10-01,132991.5
2006-01-01,135861.1
2006-04-01,137293.7
2006-07-01,139073.1
2006-10-01,141332.6
2007-01-01,144027.6
2007-04-01,146627.2
2007-07-01,148211.1
2007-10-01,150003.4
2008-01-01,151994.2
2008-04-01,154759.9
2008-07-01,155439.1
2008-10-01,152138.5
2009-01-01,149209.5
2009-04-01,149316.0
2009-07-01,151622.7
2009-10-01,152704.3
2010-01-01,154278.3
2010-04-01,155568.9
2010-07-01,156567.0
2010-10-01,157969.1
2011-01-01,158764.5
2011-04-01,159345.4
2011-07-01,158700.6
2011-10-01,158854.8
2012-01-01,160498.6
2012-04-01,160353.4
2012-07-01,160978.8
2012-10-01,161711.6
2013-01-01,161663.0
2013-04-01,163749.9
2013-07-01,164364.1
2013-10-01,164607.2
2014-01-01,165189.3
2014-04-01,166104.8
2014-07-01,166986.5
2014-10-01,167384.5
2015-01-01,166398.2
2015-04-01,166393.7
2015-07-01,167382.1
2015-10-01,167885.3
2016-01-01,168141.9
2016-04-01,169946.3
2016-07-01,170115.1
2016-10-01,169531.0
2017-01-01,169919.5
2017-04-01,169607.7
2017-07-01,171627.8
2017-10-01,173310.1
2018-01-01,174931.6
2018-04-01,178444.7
2018-07-01,177609.8
2018-10-01,178474.3
2019-01-01,178426.8
2019-04-01,178891.2
2019-07-01,179430.2
2019-10-01,180169.7
2020-01-01,177306.8
2020-04-01,164449.1
2020-07-01,176745.4
2020-10-01,177866.5
2021-01-01,178857.5
2021-04-01,184797.7
2021-07-01,189193.8
2021-10-01,190193.1
2022-01-01,192394.7
2022-04-01,195629.3
2022-07-01,196493.7
2022-10-01,197207.1
2023-01-01,198941.9
2023-04-01,197723.1
2023-07-01,198729.9
2023-10-01,199479.4
2024-01-01,202419.3
