DATE,EUNNGDP
1995-01-01,1405426.2
1995-04-01,1424098.2
1995-07-01,1446668.1
1995-10-01,1461764.3
1996-01-01,1474103.1
1996-04-01,1492082.7
1996-07-01,1505834.6
1996-10-01,1509654.3
1997-01-01,1508483.9
1997-04-01,1522616.5
1997-07-01,1537918.0
1997-10-01,1561942.9
1998-01-01,1569165.0
1998-04-01,1583641.5
1998-07-01,1600222.3
1998-10-01,1619348.2
1999-01-01,1638444.8
1999-04-01,1649816.6
1999-07-01,1672357.8
1999-10-01,1697458.5
2000-01-01,1725421.9
2000-04-01,1745008.8
2000-07-01,1764262.9
2000-10-01,1785834.3
2001-01-01,1817116.9
2001-04-01,1828130.9
2001-07-01,1842894.2
2001-10-01,1858632.9
2002-01-01,1874694.2
2002-04-01,1888956.9
2002-07-01,1910780.8
2002-10-01,1921963.9
2003-01-01,1929491.4
2003-04-01,1941448.6
2003-07-01,1966153.8
2003-10-01,1983683.6
2004-01-01,2004775.1
2004-04-01,2028627.2
2004-07-01,2040309.2
2004-10-01,2060401.9
2005-01-01,2073136.3
2005-04-01,2095600.7
2005-07-01,2121085.0
2005-10-01,2148703.0
2006-01-01,2173757.0
2006-04-01,2212211.6
2006-07-01,2238161.1
2006-10-01,2275568.7
2007-01-01,2309125.0
2007-04-01,2336614.2
2007-07-01,2357515.0
2007-10-01,2388226.5
2008-01-01,2412961.8
2008-04-01,2418831.0
2008-07-01,2410394.5
2008-10-01,2375712.2
2009-01-01,2311700.7
2009-04-01,2309424.8
2009-07-01,2318852.6
2009-10-01,2334075.9
2010-01-01,2347268.3
2010-04-01,2373920.0
2010-07-01,2394156.7
2010-10-01,2410695.5
2011-01-01,2440689.3
2011-04-01,2447702.7
2011-07-01,2457429.0
2011-10-01,2456363.5
2012-01-01,2459061.8
2012-04-01,2457704.2
2012-07-01,2464411.1
2012-10-01,2460755.5
2013-01-01,2465696.5
2013-04-01,2486333.2
2013-07-01,2497203.0
2013-10-01,2504459.2
2014-01-01,2529951.7
2014-04-01,2538209.0
2014-07-01,2554905.0
2014-10-01,2570020.2
2015-01-01,2602909.4
2015-04-01,2624446.1
2015-07-01,2645273.0
2015-10-01,2661955.0
2016-01-01,2681193.5
2016-04-01,2692723.2
2016-07-01,2711723.0
2016-10-01,2735164.3
2017-01-01,2763646.7
2017-04-01,2797763.3
2017-07-01,2825737.3
2017-10-01,2859979.4
2018-01-01,2870054.9
2018-04-01,2893607.1
2018-07-01,2908548.1
2018-10-01,2942090.7
2019-01-01,2972662.3
2019-04-01,2993240.9
2019-07-01,3013752.2
2019-10-01,3030551.0
2020-01-01,2943128.6
2020-04-01,2650442.8
2020-07-01,2928570.9
2020-10-01,2953908.6
2021-01-01,2985225.2
2021-04-01,3066735.9
2021-07-01,3165394.8
2021-10-01,3215686.1
2022-01-01,3277667.6
2022-04-01,3344355.0
2022-07-01,3400196.2
2022-10-01,3463046.3
2023-01-01,3532388.6
2023-04-01,3571582.8
2023-07-01,3604255.8
2023-10-01,3643724.0
2024-01-01,3678296.8
