"CubeId";"plkoprinfla"
"PublishingDate";"2024-08-21 09:00"

"Date";"D0";"Value"
"1983-12";"KGM";"2.73273012"
"1983-12";"K1";
"1983-12";"K2";
"1983-12";"TLK";"2.1"
"1984-01";"KGM";"2.69847287"
"1984-01";"K1";
"1984-01";"K2";
"1984-01";"TLK";"2.7"
"1984-02";"KGM";"2.75367369"
"1984-02";"K1";
"1984-02";"K2";
"1984-02";"TLK";"2.9"
"1984-03";"KGM";"2.78035254"
"1984-03";"K1";
"1984-03";"K2";
"1984-03";"TLK";"3.4"
"1984-04";"KGM";"2.7513675"
"1984-04";"K1";
"1984-04";"K2";
"1984-04";"TLK";"3.2"
"1984-05";"KGM";"2.47553049"
"1984-05";"K1";
"1984-05";"K2";
"1984-05";"TLK";"2.9"
"1984-06";"KGM";"2.40934121"
"1984-06";"K1";
"1984-06";"K2";
"1984-06";"TLK";"2.8"
"1984-07";"KGM";"2.27177865"
"1984-07";"K1";
"1984-07";"K2";
"1984-07";"TLK";"2.8"
"1984-08";"KGM";"2.33089005"
"1984-08";"K1";
"1984-08";"K2";
"1984-08";"TLK";"2.9"
"1984-09";"KGM";"2.4641601"
"1984-09";"K1";
"1984-09";"K2";
"1984-09";"TLK";"2.7"
"1984-10";"KGM";"2.63310267"
"1984-10";"K1";
"1984-10";"K2";
"1984-10";"TLK";"3.1"
"1984-11";"KGM";"2.62879185"
"1984-11";"K1";
"1984-11";"K2";
"1984-11";"TLK";"3"
"1984-12";"KGM";"2.64565406"
"1984-12";"K1";
"1984-12";"K2";
"1984-12";"TLK";"2.9"
"1985-01";"KGM";"2.70543333"
"1985-01";"K1";
"1985-01";"K2";
"1985-01";"TLK";"3.5"
"1985-02";"KGM";"2.95720669"
"1985-02";"K1";
"1985-02";"K2";
"1985-02";"TLK";"4"
"1985-03";"KGM";"3.18297684"
"1985-03";"K1";
"1985-03";"K2";
"1985-03";"TLK";"3.9"
"1985-04";"KGM";"3.19428696"
"1985-04";"K1";
"1985-04";"K2";
"1985-04";"TLK";"3.6"
"1985-05";"KGM";"3.60505512"
