date,SPY,XLI,XLE,XLK,XLV,XLU,XLF,XLY,XLP,XLB,XLC,XHB,DBC,USO,UGA,UNG,CORN,SOYB,CANE,WEAT,CPER,SLV,GLD,PALL,TLT,IEF,IEI,SHY,MBB,VCIT,USHY,UUP,FXE,FXB,FXY,FXA
2000-01-03,145.4375,28.8438,26.5625,55.4375,30.2969,27.4531,18.5749,30.125,22.75,25.9688,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,140.9375,27.0,27.25,51.625,30.5,27.4375,18.8286,28.1875,23.0,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,138.4375,25.5469,26.8125,56.4375,28.375,25.3438,16.9509,25.3906,20.3281,20.7656,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-03,151.25,29.3281,29.8125,58.0,30.6563,26.9063,20.6557,30.1406,22.1875,23.7969,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01,147.0625,30.3125,29.3438,55.7813,30.4063,28.4844,19.4503,29.5313,22.625,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,145.3125,29.7344,31.9688,51.5,29.3125,28.625,21.0109,27.3125,24.0,21.6406,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-03,147.2813,28.6563,30.5313,54.5625,29.5,28.0625,19.6407,25.9375,25.2813,20.1875,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,143.875,28.9375,29.7344,50.7188,29.375,28.2813,21.1251,26.375,25.125,19.8281,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,152.5,31.8438,32.7031,56.5625,30.125,29.0938,22.7365,25.4219,23.875,20.0625,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-02,143.8438,30.25,33.4375,46.0313,29.4375,32.4688,23.8784,24.5,24.9375,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,142.4688,31.2813,32.9063,42.875,29.7031,33.9531,23.244,24.7813,26.6875,19.6094,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,132.2188,30.4531,30.875,35.2031,27.0,33.4844,22.026,24.0,27.2344,19.9063,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,131.1875,31.25,33.1875,31.3125,27.25,33.1875,23.9545,25.5938,28.5625,21.4219,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,137.93,30.96,31.72,37.28,29.61,31.7,23.9301,28.53,26.71,20.96,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,124.6,29.28,32.1,28.8,28.56,31.62,22.3142,26.1,26.39,21.14,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-02,114.2,26.4,30.13,24.2,26.49,31.39,21.6484,26.1,24.39,20.08,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-01,127.05,29.9,33.65,29.5,29.25,33.11,22.5172,27.6,25.48,22.35,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,126.73,30.78,33.4,28.1,29.81,32.75,23.2724,27.85,25.91,23.14,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-02,124.13,29.32,30.27,28.15,29.76,31.24,23.3455,27.94,24.87,22.29,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,122.11,29.0,29.89,26.92,28.93,31.23,22.9395,28.87,25.05,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-03,114.15,27.85,28.73,23.02,27.49,29.77,21.3317,26.37,25.17,21.91,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,104.27,23.46,25.46,19.0,23.06,29.51,19.9837,22.95,25.27,19.26,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-01,108.51,24.59,27.27,22.09,23.95,27.95,20.0812,24.63,25.48,20.15,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-03,113.37,26.27,25.7,24.19,26.38,27.42,20.747,27.0,25.99,21.68,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,114.3,27.7,26.7,24.0,26.95,28.03,21.356,28.6,25.4,21.42,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-01,112.65,25.75,25.89,23.3,26.7,27.08,20.8526,29.24,25.25,21.82,,,,,,,,,,,,,,,,,,,,,,,,,,
